,subject,name,review,time,location,sentiments
1122,A city that is always alive,Graham Airogerg L,"Dear Kevin M,

Thank you for your valued feedback. 

I regret to learn about the challenges that you encountered during your stay with us. Please allow me to assure you that service is a top priority for us, and that I have shared your comments...More",Reviewed 2 September 2017 ,None,Positive
1123,The Reviews on here do offer a good spectrum and fairness,Hovitez1979,I stayed at this hotel a while ago and yeah nice view average room cool pool ( I thought I would fall off the pool and die) but oh ma lord the price on this hotel is hiiiggghhhh you can get nicer hotel. Final conclusion...More,Reviewed 2 September 2017 ,"London, United Kingdom",Positive
1124,Nice hotel but watch out! ,Julian H,"Dear Emi I,

Thank you for your review. 

Though i am glad to read that you enjoyed your time spent at the Sands SkyPark infinity pool, I am disheartened to note that your stay with us was not a complete success. Please allow me to...More",Reviewed 2 September 2017 ,None,Positive
1125,Not Impressed,dabawenyo,This was our first time at this hotel and wow what a place! We booked into a Premium King Sky Room and very impressed. We were in tower 1 on the 40th floor (4075 is a good room for views). We had a great view...More,Reviewed 2 September 2017 ,"Davao City, Philippines",Positive
1126,Stupidly expensive but spectacular property,Adrian K,"The infinity pool and the hot water pools are a must
Great to chill out with a drink 
Feel relaxed and chilled out
A must visit in a life time
Casino is fun,rooms are big and modern with all amenities 
Great place to shop and...More",Reviewed 2 September 2017 ,"Fredericksburg, Virginia",Positive
1127,What a View,Ian H,"Obviously in a minority with my views - superficially it is wonderful and would provide most things that many would love.
The rooms are a reasonable size, are clean and well presented.
HOWEVER:
being so large, everywhere is a huge distance to walk, whether you...More",Reviewed 2 September 2017 ,"Caloundra, Australia",Positive
1128,No doubt the best hotel in the world,Dan C,"Thank you for taking the time to share your review on TripAdvisor, RonWamberal. 

Though I am glad to read that you enjoyed your appointed accommodation, I regret to learn about the challenges that you encountered during your stay. Please allow me to assure you that...More",Reviewed 1 September 2017 ,"Copenhagen Region, Denmark",Positive
1129,"Great pool, but impersonal hotel",Stormalong,"Location is amazing to visit the Marina, as well as Merlioz, gardens, city, etc. Wonderful views, spectacular building. Very poor and low quality breakfast. Swimming pool is a mess. 2.400 bedrooms says it all.More",Reviewed 1 September 2017 ,"Melbourne, Australia",Positive
1130,I recommend not to stay here,Julian S,"Dear CristinaMR,

Thank you for your review.

I am disappointed to learn that your stay with us was not a complete success. Please rest assured that your feedback is important to us, and that I have shared your comments regarding your breakfast on property and...More",Reviewed 31 August 2017 ,None,Neutral
1131,Amazing hotel,Nav A,"눉Furniture is getting old. At check in we booked for 4, 2 adults + 2 kids, and paid for it. However, room was only 1 bed for 4. The receptionist went to tell us a long story about trying to find a solution. In short...More",Reviewed 31 August 2017 ,"Sheffield, United Kingdom",Neutral
1132,Perfect honeymoon start,LittleMissHolidayFan,"Dear MikkaSwissCheese,

Thank you for taking the time to share your valuable feedback with us on TripAdvisor. 

I am disheartened to read that your stay with us was not a success. Please allow me to assure you that we will continually strive to enhance the...More",Reviewed 31 August 2017 ,London,Negative
1133,Bucket list... tick!,Tania03061964,"Building is iconic and the rooms nice, but the hotel is incredibly expensive and fails to deliver on some the basics.  Internet is TERRIBLE - you constantly need to login again. And one of the 2 keys I was given at check in never worked...More",Reviewed 31 August 2017 ,"Melbourne, Australia",Negative
1134,No Value for Money,SurajS,"Dear actonma,

Thank you for your valuable feedback.

I regret to learn about the challenges that you encountered during your stay with us. Please allow me to assure you that it is never our intention to cause our guests unnecessary stress or inconvenience, and I...More",Reviewed 30 August 2017 ,"Chennai (Madras), India",Negative
1135,Amazing,heatam,"The service was just great, wonderful staff. very reliable butler service. Good choices food choices during breakfast, afternoon tea and cocktails at Club55. plus the scenic view of Singapore from everywhere (suite, Club55, Skypark, Infinity Pool).",Reviewed 30 August 2017 ,None,Positive
1136,Fantastic,Giovanni M,"Choose to stay here if you want to experience pure luxury, fun and to tick an iconic building off your bucket list. 

We chose to stay here while traveling from Europe to New Zealand. We got off a long flight and were exhausted. From the...More",Reviewed 29 August 2017 ,"Roma, Italy",Positive
1137,Swimming Pool unbelievable!!!,liseyx,"An iconic hotel with epic form with plenty of glass to public areas. Lofty majestic spaces, good sized rooms with great views of the harbour.  Adjacent is the convention centre and a shopping mall boasting an almost endless array of shops with overpriced materialistic purchases....More",Reviewed 29 August 2017 ,hertfordshire,Positive
1138,Room with a View,Adrian M,I was so happy with my experience and would really recommend this hotel to everyone!! I have stayed in a few five stars hotels and never have I ever experienced the service that I got at marina bay. It was superb from start to finish....More,Reviewed 29 August 2017 ,"Greater Melbourne, Australia",Positive
1139,Just for the view ,normalreviewer,MY husband treated me to two nights for my 60th..... OMG what an experience.   I cannot praise the staff highly enough for their attention to details and service and friendly and so helpful.  OKY it was expensive and we went for the package that included...More,Reviewed 29 August 2017 ,leeds west yorkshire,Neutral
1140,It's worth a bucket list short stay,WagsMelboirne,"One of my bucket list fulfilled! Had a great time enjoying the views of garden by the bay through my hotel balcony.  The infinity pool is a must try for some instagram worthy poses. Great facilities, superb staff.  I will be glad to come back...More",Reviewed 29 August 2017 ,Melbourne,Positive
1141,On reflection not worth the money ,Emma T,"stayed at the hotel for 1 night to break up the flight from WA to the UK.
when booking a couple of months ago i did state that our flight was a n early one and would arrive at Marina Bay approx 8am and to...More",Reviewed 29 August 2017 ,None,Positive
1142,Breathe taking. ,Arvin E,"I stayed at this hotel on a business trip.

Let's just say that this is definitely one of the best hotel in Singapore, if not, the best.  Everything is excellent.  The room is spacious, fully carpeted. Furniture all in very good condition. The bed, pillow,...More",Reviewed 28 August 2017 ,None,Positive
1143,Amazing view:-),Manouela B,"5 stars, 10/10. I admit being slightly skeptical after reading reviews on here, but this place blew away all expectations. The building itself is amazing, and you could spend hours just staring at it. 

From the moment we checked in, everything was easy. We stayed...More",Reviewed 28 August 2017 ,None,Positive
1144,Well worth the money. ,mchgtn,"Thank you Marina Bay Sands for the excellent hotel experience my family had! Great room for my family of 4, fantastic staff, and awesome facility! Though it was only an overnight stay we didn't miss out on anything an ordinary family staycation could ever have...More",Reviewed 28 August 2017 ,None,Positive
1145,The place to be!,Bersa B,We were staying at the Marina Bay Sands for a night at the end of our holiday. As others already noted in their reviews the check-in process is rather quick. Our luggage was brought to our room (on the 27th floor) within 15 minutes. Unlike...More,Reviewed 28 August 2017 ,None,Positive
1146,Absolutely amazing!!,Ash C,"We arrived on Oct 7 around 2pm. it's chaos at the tower entrance. We had to roll our luggage in and while I waited for my husband who's trying to check in, no one came to help carry luggage. As I stood there, a lady...More",Reviewed 28 August 2017 ,"Sheffield, United Kingdom",Neutral
1147,Bit too busy,arunjain22,"Yes, I had expectations! I stayed at this hotel with the purpose of experiencing the architectural/engineering side of such an amazing building. Too bad the hotel aspects are so disappointing: filthy rooms, dirty swimming pool, total unpersonal reception. 
Everything is administrated as a huge playground...More",Reviewed 28 August 2017 ,"Ludhiana, India",Negative
1148,Awful service,ag56789,"Dear MarinaInCucina,

Thank you for sharing your review on TripAdvisor.

I am disheartened to learn that your stay with us was not a success. Please rest assured that we will continually strive to enhance the quality of our offerings and service touch points in order...More",Reviewed 28 August 2017 ,None,Negative
1149,Very busy hotel,Craig S,Check in was speedy but the customer service was abrupt and rather rude. The premier room was well furnished and spacious with quality amenities and a great high floor view of the city. Beds super comfortable. We requested a baby cot which was not available...More,Reviewed 28 August 2017 ,None,Positive
1150,Las Vegas in Singapore!,CptSlag,I wont take away from the fact that this place is worth visiting once in your life and probably just for one day as i did. It is ridculasly expensive to stay there for even one night i paid 550 Singaporian Dollars for one night...More,Reviewed 28 August 2017 ,None,Negative
1151,A must place to visit in Singapore !,Keerthi r,"Dear Mohit A,

Thank you for sharing your valued feedback on TripAdvisor. 

Though I am happy to note that you enjoyed your overall stay at Marina Bay Sands, I regret to learn about the service challenges that you encountered during your stay with us. Please...More",Reviewed 28 August 2017 ,None,Positive
1152,Poor Customer Service & Communication ,DannyBoySouthIreland,"I was my first time I had stayed in such an expensive hotel. I questioned myself continuously asking, ""At my age should I be spending this much money on a hotel room??? ""

But oh my goodness it was worth it!👌👌

They had actually started...More",Reviewed 27 August 2017 ,South Ireland,Neutral
1153,perfect,Bipin G,"Too much people flowing around.
good verbiage used but sounds “fake”.
Restaurants food are nice but kind of pricey. 
For a visit walk is good. Not for stay.
Gardens by the bay are nearby walking distancesMore",Reviewed 27 August 2017 ,"Pokhara, Nepal",Positive
1154,"Been there, done that...",Rune H,"Dear Ivory W,

Thank you for sharing your review on TripAdvisor. 

Though I am glad to read that you enjoyed your dining experience on property, I am disappointed to learn that your stay with us was not a success. Please rest assured that I have...More",Reviewed 27 August 2017 ,"Toulon, France",Neutral
1155,"A ""Ladt Vegas style"" must do in Singapore",jazzamat,What more you want to say . The greatest Place in Asia . Superb and stars on All elements . A Place must visit . Bit expensive but worth it . We had several Meals and snacks + drinks with friends over few days and...More,Reviewed 27 August 2017 ,Paris,Positive
1156,Marina Bay Sands,ceciliachng,"A perfect location for a visit of 1/2 nights, the time to take advantage of the infinity pool and one of the best view of the city. The reception is crazy but it's really efficient: we arrived in the morning and the room was not...More",Reviewed 27 August 2017 ,"Singapore, Singapore",Positive
1157,Honeymoon,Darrenjb77,super awesome and great view from the top. Need to pay a fee to go to the roof for photos but worth it. lots of shopping option in the same building. the station is bayfront station and is accessible via the blue line.,Reviewed 27 August 2017 ,None,Positive
1158,Great hotel if you know what to expect ,MatthewChap,"We booked a club55 room, breakfast included, for us and my daughter and once we arrived (after 12 hours flight), at reception they informed us that we need to pay for the child as nothing is included!!!!! Even it was completely differently booked. 
Besides this,...More",Reviewed 27 August 2017 ,"Oxfordshire, United Kingdom",Neutral
1159,Casino Trip,Kartik516r,"Dear Lavinia L,

Thank you for your valued feedback. 

I am disheartened to learn that your stay with us was not a complete success. Please rest assured that your feedback is important to us, and that I have shared your comments regarding your appointed accommodation...More",Reviewed 27 August 2017 ,"New Delhi, India",Positive
1160,Definately the place to stay,Darryl W,"This a spectacular hotel. The view of the bay is breathtaking.  We were on floor 30 facing east and you can see the Garden by the Bay outside our window. A few things you should know:
1. You are paying for the view.
2. You...More",Reviewed 27 August 2017 ,"Canberra, Australia",Positive
1161,Average ,davidtaylor91,"We stayed here primarily for the pool and it was worth the experience 

The service is exemplary and location is great. In the right rooms the view of the gardens at night is amazing but its really all about the rooftop

Its pricey, to stay...More",Reviewed 27 August 2017 ,"Sydney, Australia",Positive
1162,There is still no answer.,Sevki C,"SO let's be honest, if you're looking at this hotel, its probably for the skypark/pool. And rightfully so. it is an amazing architectural wonder with amazing views and an awesome pool. And you should stay here, for one night, to use that. then you should...More",Reviewed 27 August 2017 ,None,Positive
1163,"Not worth it - over rated there are better places to stay than here, very disappointed with the food and cocktails. ",Dave G,"Dear Clyde_Betts,

Thank you for taking the time to share your review on TripAdvisor. 

Though I am pleased to note that you enjoyed your time spent at the Sands SkyPark infinity pool, I am disappointed to learn that your stay with us was not a...More",Reviewed 26 August 2017 ,Birmingham,Neutral
1164,Nice hotel,FuChoo76,"There are so many people, but checkin/ concierge process everybody very quickly. You sort of feel like cattle at checkin but it does the job. A world of amenities; although a bit far from Singapore central.",Reviewed 26 August 2017 ,"Boston, Massachusetts",Positive
1165,Shocking.....,Choco7281,"When I arrived, I had to share the room 1 day with my work colleague. Once we entered the room, the curtain opened and we saw the perfect garden view. It was shocking in a positive way. 
The other days, I changed to an individual...More",Reviewed 26 August 2017 ,None,Neutral
1166,Great view,Sophy W,"Dear Lidia O,

Thank you for your kind review. 

I am glad to read that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodations and your time spent at the Sands SkyPark infinity pool. I would also like to take the...More",Reviewed 26 August 2017 ,None,Positive
1167,Simply amazing!,ErmaMalekkidou,"We stayed at this hotel 2 days  in a very nice and expensive suite with a nice view over the city. The infinity pool is perfect, the stuff around is really friendly, the hotel itself is situated perfectly and you can reach some important attractions...More",Reviewed 25 August 2017 ,"Limassol, Cyprus",Positive
1168,Pro e contro,Lorenz0128,"Thank you for your review. 

I am happy to note that you enjoyed your overall stay at Marina Bay Sands, particularly enjoying your appointed Suite and your time spent at the Sands SkyPark infinity pool and The Shoppes. However, please rest assured that I have...More",Reviewed 25 August 2017 ,None,Positive
1169,Awesome view,Glens613,"We stayed in this hotel for one night, on Friday. Overall we were very happy with our  stay. I just wish the prices were slightly lower as we paid stupid amount of money, just because it was the weekend. We chose this place mainly for...More",Reviewed 25 August 2017 ,"Pasig, Philippines",Neutral
1170,Modern luxury hotel with supreme city views,rcf69,"Dear mmagda00,

Thank you for your positive review.

I am happy to note that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed garden view room and your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming...More",Reviewed 25 August 2017 ,"Brisbane, Australia",Positive
1171,Steep pricing but excellent views,aryarohan,"I and my wife visited the hotel, and this is our dream hotel to stay during our honeymoon. Our expectation have met when our front staff Mark gave an excellent services to us. During our check in, he gave us warm hospitality, a great smile,...More",Reviewed 24 August 2017 ,"Gurugram (Gurgaon), India",Positive
1172,Recommnend for a short stay,Nkwalter2014,"Dear BryanHwang,

Thank you for your kind recommendation and for the privilege of hosting you on this special occasion.

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your time spent at the Sands...More",Reviewed 24 August 2017 ,"Adelaide, Australia",Positive
1173,Good,Sky S,"Large rooms. Great breakfast with western and chinese food. The stasf was very helpffuly and calm. Rapid check-in. Express check-out
We stay at Tower 1, 33 th floor. The views ate excellent. We will repeat!More",Reviewed 24 August 2017 ,None,Positive
1174,"Worth the money - amazing experience, incredible views ",Sean C,"Dear mmmatos,

Thank you for your kind review.

I am delighted to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation, your breakfast on property as well as your time spent at the Sands SkyPark infinity pool. I am...More",Reviewed 23 August 2017 ,None,Positive
1175,It's all about the roof top,BigBDarlo,"We - my wife and our two kids, 9 and 12 yrs., - stayed in the Marina Bay Sands for two days only. The pool area and the view from the roof top are spectacular and beyond compare. Rooms are nice and tidy, but not...More",Reviewed 23 August 2017 ,"North East England, United Kingdom",Positive
1176,High expectations = low result,Jacob M,"Dear ole571,

Thank you for your valued feedback.

Though I am glad to read that you enjoyed your time spent at the Sands SkyPark infinity pool, I regret to learn about the challenges that you and your family encountered during your stay with us. Please...More",Reviewed 23 August 2017 ,"Berlin, Germany",Positive
1177,Unbelievable views,903mariannei,"You cannot missed this hotel when you are going to visit Singapore. Inside and outside of the hotel are wonderful. The hotel is famous because of the Infinity pool and it's amazing three towers. The hotel have shopping mall, theatre, celebrity Chef restaurants, skypark (observation...More",Reviewed 23 August 2017 ,None,Positive
1178,A MUST visit,carlapetitt,"Dear Michille V,

Thank you for your kind review and recommendation.

I am happy to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodation as well as your time spent at the Sands SkyPark infinity pool and The Shoppes....More",Reviewed 23 August 2017 ,"Sydney, Australia",Positive
1179,Over rated ,Nickstar29 ,This is one of the most beautiful hotels in the world. The three towers feature a rooftop garden and infinity pool. There is also numerous restaurants and a fabulous casino. The rooms are extravagant and offer incredible views. It is a pricey location though well...More,Reviewed 23 August 2017 ,None,Positive
1180,Two Nights in Heaven!,Yhanie S,"Dear johnnyvegas22,

Thank you for your positive review.

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation, your dining experiences on property, as well as your time spent at the Sands SkyPark infinity pool.

I...More",Reviewed 23 August 2017 ,Indonesia,Positive
1181,"Amazing architecture, facilities and views.  Disappointed with maid service.",AwayWeGo2016789,lovely hotel very clean but be careful it is expensive especailly if you like a bottle of red wine the cheapset bottle was 50 singapore dollars and even outside the hotel to eat and drink it was just as expensive something to do with a...More,Reviewed 22 August 2017 ,"Redondo Beach, California",Neutral
1182,Two words: infinity pool,Elena_Aloha,"Dear bahiadelvelerin1965,

Thank you for sharing your review on TripAdvisor. 

I am glad to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your time spent at the Sands SkyPark infinity pool. I would also like to take this opportunity to clarify...More",Reviewed 22 August 2017 ,"Milan, Italy",Positive
1183,"A ""must"" in Singapore! :)",Kasia T,"Great view, Food can be improved not many to choose from. Overall food quality is above average. With the price We expected better quality. 
The journey up to 57th floor is a bit troublesome.
Queue was Long, no chairs for elderly to rest while waiting....More",Reviewed 22 August 2017 ,None,Positive
1184,Not as good as we expect.,York H,"So........we went for the pool.......really!! Just hordes of people standing in the water taking photos of themselves. We should have known better. Just not worth it.
Checking in or doing anything involves a slow queue, the staff are efficient but there are not enough of...More",Reviewed 22 August 2017 ,None,Neutral
1185,Great family holiday but over rated hotel,Jonnytwosocks,"Dear Charlotte065,

Thank you for your valued feedback. 

I regret to learn that your stay with us was not a complete success. Please rest assured that your feedback is important to us, and that I have shared your comments regarding your experience during check-in, your...More",Reviewed 22 August 2017 ,"Dubai, United Arab Emirates",Positive
1186,Honeymoon ,alk_lala_1985,"The decoration for the room was nice, the bed was comfortable, and the view was fantastic. The staff was friendly and the check in process was fast . Besides, a lot of nice restaurant and entertainment casino there was the best match.More",Reviewed 21 August 2017 ,"Athens, Greece",Positive
1187,good for your gallery,Vinny N,"Dear Tony C,

Thank you for your positive review.

I am glad to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodation and your dining experiences on property. I am also happy to read that our Team Members' service...More",Reviewed 21 August 2017 ,None,Positive
1188,Ok not 5* in my opinion,Lucylu001,"My husband and I came to Singapore many times for business. We stayed at different hotels each time. Marina Bay Sands is certainly something we don't want to miss. This hotel has opened many years and this time we finally decide to stay here, after...More",Reviewed 21 August 2017 ,"London, United Kingdom",Positive
1189,Amazing Stay,LEE2MAR,"Dear ActAsIf888,

Thank you for sharing your review on TripAdvisor.

I am glad to learn that you and your loved one enjoyed your overall stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark infinity pool.

We will continue working hard...More",Reviewed 21 August 2017 ,"Newcastle, Australia",Positive
1190,"nice hotel, crowded pool",riikkal_12,"After hearing so much  about Marina Bay Sands I was expecting a lot. It was expensive with the most uncomfortable beds (unbelievably hard). Mould in the shower was also  nasty,It's two redeeming  features were the great shops and restaraunts. The pool has amazing views but...More",Reviewed 20 August 2017 ,"Southern Finland, Finland",Positive
1191,"Great views, average room and service",re1na,"Dear mstratton222,

Thank you for your valued feedback.

Though I am glad to read that you enjoyed your dining and retail experiences on property, I regret to learn that your stay with us was not a complete success. Please allow me to assure you that...More",Reviewed 20 August 2017 ,"Singapore, Singapore",Positive
1192,Nice place to visit,gaurav v,"It is such a pity for this property, the talent that is so abundant, and a management that, somehow cannot hold such positive attributes together to deliver a great experience. I have come to Singapore for the past 12 years, and taken guests/family to many...More",Reviewed 20 August 2017 ,None,Positive
1193,Awfully simply awful,Mr B,"Dear 883michaelm,

Thank you for your valuable feedback. 

I regret to learn about the challenges that you encountered during your recent visit. Please allow me to assure you that your feedback is important to us, and that I have shared your comments regarding your dining...More",Reviewed 20 August 2017 ,"Greater London, United Kingdom",Positive
1194,It's a paradise,A TripAdvisor Member,I stayed in Marina bay sands with my friends for 2Days it was a great experience by staying in this hotel and the pool in the top floor was very nice and rooms are very clean lobby was very good totally it’s very good hotelMore,Reviewed 20 August 2017 ,None,Positive
1195, Nothing Special,Lyon T,"Dear  Srinivas R,

Thank you for your kind review.

I am happy to note that you and your friends enjoyed a great stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

I look forward...More",Reviewed 20 August 2017 ,None,Positive
1196,Pool was pretty cool...,nikkiboss77,My family recently stayed here for my wife’s 65th birthday. Everything from the moment we arrived (the day after the F1 Grand Prix unfortunately) till we checked out was perfect. It wasn’t cheap but then we never expected it to be and no way it...More,Reviewed 20 August 2017 ,"London, United Kingdom",Positive
1197,Interesting area to visit,Geoffrey500,"Dear meehand55,

Thank you for your positive review and for the privilege of hosting you on this special occasion. 

I am delighted to read that you and your family thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your dining experience at CÉ LA...More",Reviewed 20 August 2017 ,"Auckland Central, New Zealand",Positive
1198,Awesome stay,Catherine Z,"Location of this hotel - Just too good
Why - You have everything around it - Forest Moutain, RIver Cruise, Laser show, Gardens by the bay -  And believe me, you will love each one it.
Singapore is a good balance of nature(river, sea bay)...More",Reviewed 20 August 2017 ,California,Positive
1199,Wonderful & amazing view ,178aida,"Thank you for your kind review, 361kumarg.

I am happy to note that you enjoyed your stay at Marina Bay Sands, and I look forward to welcoming you back to our one-stop destination in the near future to experience more of our multi-dimensional offerings.",Reviewed 19 August 2017 ,"Fairfax, Virginia",Positive
1200,Wow experience,Ray G,"This is a huge, corporate, impersonal monster.  The rooms are wonderful, large and well appointed BUT it is almost like being in a robot hotel.  No personal service, no sign of any management to deal with problems, i.e. long queues at the 3 restaurants for...More",Reviewed 19 August 2017 ,"Amsterdam, The Netherlands",Positive
1201,Spoiler alert: club level is worth it,gerdaNl,"Dear judith9973,

Thank you for your valued feedback. 

Though I am glad to note that you enjoyed your appointed accommodation, I am disappointed to learn that our Team Members' service standards did not consistently meet your expectations. Please allow me to assure you that service...More",Reviewed 19 August 2017 ,NL,Neutral
1202,"Ship Shape , Top Notch",Anthony W,"Rooms were amazing, very well kept. Stayed here for 4 night, for the first stage of our honeymoon before flying onto Bali. Such an impressive building and the views from the swimming pool have to be experienced in person to believe. Food was very good...More",Reviewed 19 August 2017 ,"Melbourne, Australia",Positive
1203,Amazing ,Loufareham,"Dear wayne_morton01,

Thank you for sharing your review on TripAdvisor. 

I am glad to read that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed accommodation, your dining experiences on property and your time spent at the Sands SkyPark infinity pool....More",Reviewed 19 August 2017 ,None,Positive
1204,Pushed the boat out for this one <3,minniemouse09,"Had a super memorable stay, 
worth mentioning in particular was the kindest Security / Lobby attendant, 
one of those people who make you come back for dispite being this gigantic mass tourism hotels
Management please acknowledge with merit: MR ANDREW KONG TM 817981More",Reviewed 18 August 2017 ,minniemouse09,Positive
1205,ONE OF THE BEST PLACES TO VISIT IN SINGAPORE,Bhupesh K,"Dear Anjaverena,

Thank you for your kind review.

I am glad to learn that you enjoyed a memorable stay at Marina Bay Sands and that our Team Member Andrew provided you with excellent service which helped to enhance the enjoyment of your stay. Please rest...More",Reviewed 18 August 2017 ,None,Positive
1206,Top Class Resort,Carminecolarusso,"Marina Bay Sands was so much more than just a hotel.  It was huge, extravagant, and impressive.  It was basically a city within a hotel.  Everyone at the hotel was extremely friendly, accommodating, friendly, attentive, and all-around wonderful.  The rooms were luxurious, the pool deck...More",Reviewed 18 August 2017 ,None,Positive
1207,If you want to feel like a number.... go right ahead,Ashton B,"Dear Lenore R,

Thank you for taking the time to share your kind review about Marina Bay Sands on TripAdvisor. 

I am delighted to read that you and your family thoroughly enjoyed your stay at our one-stop destination, particularly enjoying your appointed Deluxe King room...More",Reviewed 18 August 2017 ,None,Positive
1208,"Other than the infinity pool, it is nothing special",ExpSid15,"Ever since Marina Bay Sands opened, I have always been wanting to go back to Singapore and try it out because of so much publicity and good reviews about it. When we decided to go to Singapore to celebrate my son's 7th birthday, we included...More",Reviewed 18 August 2017 ,"Vancouver, Canada",Positive
1209,I like Infinity pool,Lorelie C,"Dear Maria Felicia J,

Thank you for your positive review and for the privilege of hosting you on this special occasion. 

I am happy to note that you and your family enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed Grand Club...More",Reviewed 18 August 2017 ,None,Positive
1210,Amazing but £££,traveller123987,"The room rate is higher than other 5-star hotels in Singapore and despite the price, it's not exclusive due to the crowd of guests everywhere, from the lobby to the lifts, the infinity pool and the breakfast restaurants.

But, it's got the best view you...More",Reviewed 17 August 2017 ,"Wolverhampton, United Kingdom",Positive
1211,Amazing ,julie w,"Dear Kopio_Collections,

Thank you for taking the time to share your review on TripAdvisor. 

I am happy to read that you enjoyed your overall stay at Marina Bay Sands, particularly enjoying your time spent at Banyan Tree Fitness Club as well as the Sands SkyPark...More",Reviewed 17 August 2017 ,"Sheffield, United Kingdom",Positive
1212,Staycation,Heng How N,"This is a must see thing to be done when your here as it is just spectacular at night time.
The view is sensational from the top. The light show from surrounding buildings are awesome to view.
The cost can vary if you do your...More",Reviewed 17 August 2017 ,None,Positive
1213,Amazing views,89RPatel,"We had 3 night stay here and arrived very early on our check-in day. Despite this, the room was ready and perhaps because it was early, did not have to wait long at all to check-in. The room itself was spacious however it felt a...More",Reviewed 17 August 2017 ,"Leicester, United Kingdom",Positive
1214,Expensive Luxury - But Worth It,HonestHornet,"Dear Duffbal31,

Thank you for taking the time to share your review on TripAdvisor. 

I am glad to read that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your time spent at the Sands SkyPark infinity pool. We do our best to...More",Reviewed 17 August 2017 ,"London, United Kingdom",Positive
1215,Lovely hotel,ThatGuyK,"this place is heaven,,,, get a lot recommendation from my friend and yes it is true the place and yes is true ... had 2 night stay and i dont want to move from this place ,,, thank you for make our holiday amazing ....",Reviewed 17 August 2017 ,"London, United Kingdom",Positive
1216,Costly Views,V6720NWdanielleb,"Dear florian b,

Thank you for your kind recommendation. 

I am glad to read that you thoroughly enjoyed your stay at Marina Bay Sands, and I certainly look forward to the opportunity to welcome you back in the near future for more amazing stay experiences.",Reviewed 16 August 2017 ,None,Positive
1217,NEVER AGAIN!,laum6900,"Am here to attend the TechXLR8 Asia conferences. First time attending conference at MBS Convention Centre. Positive experience. Spacious, with adequate washrooms, signages and sitting areas around the halls. There is also ample car parking space.",Reviewed 16 August 2017 ,"Lugano, Switzerland",Positive
1218,Like a factory,th_lucerne,"Stayed here for 2 nights and that was enough. I was expecting 'Grand', but its just another Big Hotel. Don't get me wrong, glad I got the opportunity to stay here but I found it too big, too expensive and just like a Nice hotel....More",Reviewed 16 August 2017 ,"Lucerne, Switzerland",Positive
1219,Luxury hotel,neuronsmisfiring,"Dear Fee70,

Thank you for taking the time to share your review on TripAdvisor. 

Though I am happy to note that you enjoyed your time spent at the Sands SkyPark infinity pool, I am disheartened to read that your stay with us was not a...More",Reviewed 16 August 2017 ,Singapore,Positive
1220,Great Experience ,JJen6,"We could not fault this wonderful hotel. Arrived at 7.30 am and were permitted to go to our room, which was wonderful after 12 hours overnight from Rome. We paid extra to stay on an Executive Club floor with city views and the room and...More",Reviewed 16 August 2017 ,"Sunderland, United Kingdom",Positive
1221,Top class hotel,stevew972,"Dear keen2go77,

Thank you for your positive review and recommendation. 

I am happy to read that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed Club room, the privileges at Club55 and your time spent at the Sands SkyPark infinity pool. I...More",Reviewed 16 August 2017 ,"Southampton, United Kingdom",Positive
1222,Wonderful experience,defa78,"Marina Bay Sands is not what it used to be. The rooms are not up to date anymore, you get better rooms and service for a lower price in Singapore. I would not recommend to stay there, maximum one night to enjoy the infinity pool...More",Reviewed 16 August 2017 ,ireland,Positive
1223,Breath taking,Tom D,"Dear SJuanN,

Thank you for sharing your review with us on TripAdvisor. 

I am disheartened to learn that your stay with us was not a success. Please allow me to assure you that your feedback is important to us, and that I have shared your...More",Reviewed 15 August 2017 ,None,Positive
1224,The best I've been in,jroath94,Everything about Marina Bay Sands is incredible. From the hotel to the rooftop pool to the club scene. The view from the rooftop is worth going for alone. We stayed at the hotel most nights and just reserved a table and had bottle service instead...More,Reviewed 15 August 2017 ,"Southampton, United Kingdom",Positive
1225,Number one in Singapura,Leeyo B,"Dear Amber D,

Thank you for your kind review. 

I am delighted to read that you enjoyed your stay at Marina Bay Sands, especially enjoying your dining experiences on property and your time spent at the Sands SkyPark infinity pool. 

I look forward to welcoming...More",Reviewed 15 August 2017 ,"Dammam, Ash Sharqiyah, Saudi Arabia",Positive
